customer_id,recency,frequency,monetary_value,r_score,f_score,m_score
CS1791,16,14,1126,5,5,5
CS8141,16,10,436,5,2,1
CS7720,16,5,266,5,1,1
CS5594,16,14,954,5,5,5
CS3789,16,9,698,5,1,3
CS2338,16,16,1170,5,5,5
CS1321,16,12,1026,5,4,5
CS4412,16,13,944,5,4,5
CS7291,16,7,369,5,1,1
CS4140,16,15,1025,5,5,5
CS2962,16,15,1083,5,5,5
CS5301,16,9,584,5,2,1
CS5251,16,10,770,5,2,3
CS4039,16,15,1163,5,5,5
CS8884,16,11,363,5,3,1
CS5398,16,11,765,5,3,3
CS7622,16,8,421,5,1,1
CS2884,16,12,765,5,4,3
CS8929,16,7,303,5,1,1
CS5307,16,7,428,5,1,1
CS2107,16,6,473,5,1,1
CS5042,16,16,1283,5,5,5
CS6090,16,11,762,5,3,3
CS6082,16,14,902,5,5,4
CS1720,16,10,657,5,2,2
CS4403,16,10,703,5,3,3
CS1184,16,12,855,5,4,4
CS2177,16,11,833,5,3,4
CS6034,16,14,832,5,5,4
CS7791,16,7,304,5,1,1
CS6024,16,10,680,5,3,2
CS4591,16,3,229,5,1,1
CS1714,16,10,801,5,2,4
CS2763,16,9,680,5,2,2
CS5991,16,16,1049,5,5,5
CS4263,16,9,571,5,1,1
CS7714,16,8,380,5,1,1
CS4540,16,15,1046,5,5,5
CS4586,16,9,688,5,1,2
CS4657,16,5,376,5,1,1
CS3850,16,11,833,5,3,4
CS1622,16,13,924,5,4,4
CS3298,16,8,518,5,1,1
CS4478,16,12,818,5,4,4
CS4230,16,12,821,5,4,4
CS5859,16,13,982,5,4,5
CS3010,16,13,826,5,4,4
CS3205,16,14,908,5,5,4
CS4477,16,8,534,5,1,1
CS2585,16,9,669,5,2,2
CS5315,16,4,260,5,1,1
CS4336,16,15,1033,5,5,5
CS3238,16,7,474,5,1,1
CS8585,16,4,138,5,1,1
CS2616,16,5,306,5,1,1
CS5966,16,7,499,5,1,1
CS4608,16,15,1150,5,5,5
CS3790,16,11,871,5,3,4
CS5665,16,13,871,5,4,4
CS3373,16,12,726,5,4,3
CS2487,16,13,875,5,5,4
CS3316,16,6,453,5,1,1
CS2929,16,11,716,5,3,3
CS8962,16,13,447,5,4,1
CS4064,16,13,875,5,5,4
CS5910,16,7,599,5,1,2
CS5871,16,9,643,5,1,2
CS1275,16,11,725,5,3,3
CS4661,16,15,999,5,5,5
CS2238,16,6,503,5,1,1
CS8763,16,5,166,5,1,1
CS7184,16,9,353,5,1,1
CS5524,16,11,883,5,3,4
CS2555,16,8,547,5,1,1
CS3127,16,9,593,5,1,2
CS2967,16,11,734,5,3,3
CS7419,16,11,545,5,3,1
CS5727,16,13,962,5,4,5
CS4515,16,9,635,5,1,2
CS1291,16,8,593,5,1,2
CS1154,16,14,938,5,5,5
CS7794,16,6,191,5,1,1
CS3791,16,16,1101,5,5,5
CS4481,16,8,516,5,1,1
CS5684,16,14,938,5,5,5
CS8967,16,6,219,5,1,1
CS1419,16,17,1145,5,5,5
CS7154,16,8,259,5,1,1
CS2141,16,12,758,5,4,3
CS8107,16,4,128,5,1,1
CS6044,16,13,899,5,5,4
CS4585,16,5,357,5,1,1
CS1794,16,12,860,5,4,4
CS3294,16,8,524,5,1,1
CS5413,17,13,929,5,4,4
CS2188,17,6,398,5,1,1
CS1652,17,10,699,5,2,3
CS2673,17,7,599,5,1,2
CS1761,17,8,579,5,1,1
CS2715,17,11,744,5,3,3
CS4244,17,8,605,5,1,2
CS1976,17,7,519,5,1,1
CS5363,17,9,692,5,2,3
CS2494,17,10,743,5,2,3
CS1342,17,10,787,5,2,3
CS4865,17,10,760,5,3,3
CS3551,17,9,594,5,1,2
CS4404,17,13,739,5,4,3
CS1630,17,11,714,5,3,3
CS2074,17,9,683,5,2,2
CS8188,17,3,106,5,1,1
CS3781,17,5,344,5,1,1
CS3220,17,10,717,5,2,3
CS4954,17,7,393,5,1,1
CS2493,17,17,1072,5,5,5
CS2357,17,15,1130,5,5,5
CS3900,17,15,1140,5,5,5
CS3958,17,13,931,5,4,4
CS5285,17,9,583,5,1,1
CS8872,17,9,472,5,1,1
CS4077,17,12,749,5,4,3
CS4371,17,7,473,5,1,1
CS2872,17,14,1112,5,5,5
CS1950,17,13,1113,5,4,5
CS4768,17,17,1081,5,5,5
CS2040,17,13,765,5,4,3
CS7171,17,9,309,5,1,1
CS4070,17,16,1083,5,5,5
CS8917,17,6,326,5,1,1
CS3279,17,12,746,5,4,3
CS2767,17,13,970,5,4,5
CS4487,17,11,773,5,3,3
CS4268,17,11,721,5,3,3
CS2877,17,15,1180,5,5,5
CS3004,17,14,1117,5,5,5
CS4339,17,16,1107,5,5,5
CS2563,17,9,527,5,2,1
CS4841,17,12,835,5,4,4
CS7991,17,7,293,5,1,1
CS5040,17,14,960,5,5,5
CS4370,17,10,661,5,3,2
CS8563,17,5,251,5,1,1
CS4374,17,15,1001,5,5,5
CS5171,17,8,630,5,1,2
CS1196,17,18,1256,5,5,5
CS5515,17,7,446,5,1,1
CS5900,17,11,908,5,3,4
CS8357,17,8,205,5,1,1
CS3763,17,7,484,5,1,1
CS7950,17,10,456,5,2,1
CS4448,17,10,658,5,3,2
CS1543,17,7,543,5,1,1
CS7543,17,3,126,5,1,1
CS8715,17,8,363,5,1,1
CS2917,17,13,966,5,4,5
CS3517,17,13,870,5,4,4
CS3926,17,7,498,5,1,1
CS5668,17,12,852,5,4,4
CS2631,17,4,296,5,1,1
CS5984,17,11,854,5,3,4
CS3866,17,12,899,5,4,4
CS6089,17,9,656,5,2,2
CS8427,17,7,258,5,1,1
CS8877,17,14,552,5,5,1
CS5049,17,18,1309,5,5,5
CS4155,17,10,655,5,2,2
CS4764,17,8,655,5,1,2
CS7692,17,9,358,5,1,1
CS2213,17,11,649,5,3,2
CS4635,17,12,876,5,4,4
CS7196,17,11,442,5,3,1
CS8567,17,5,247,5,1,1
CS4848,17,12,951,5,4,5
CS2427,17,10,795,5,2,4
CS2567,17,9,573,5,2,1
CS3193,17,11,680,5,3,2
CS7503,17,8,381,5,1,1
CS5791,17,9,738,5,1,3
CS1991,17,10,813,5,2,4
CS3733,17,9,632,5,1,2
CS4187,17,14,994,5,5,5
CS4938,17,8,506,5,1,1
CS1503,17,12,834,5,4,4
CS1561,17,5,376,5,1,1
CS5783,17,10,631,5,2,2
CS7976,17,5,297,5,1,1
CS3629,17,14,968,5,5,5
CS4188,17,10,877,5,2,4
CS4766,17,9,666,5,2,2
CS8767,17,11,447,5,3,1
CS3570,17,11,673,5,3,2
CS1171,17,17,1228,5,5,5
CS1692,17,12,879,5,4,4
CS8673,17,7,369,5,1,1
CS5827,17,11,820,5,3,4
CS4601,18,6,351,5,1,1
CS1800,18,12,745,5,4,3
CS1538,18,12,871,5,4,4
CS6017,18,12,879,5,4,4
CS5221,18,9,550,5,2,1
CS1748,18,11,753,5,3,3
CS8487,18,11,490,5,3,1
CS3335,18,13,998,5,4,5
CS4206,18,13,888,5,4,4
CS3673,18,14,1124,5,5,5
CS4472,18,10,746,5,3,3
CS1885,18,11,744,5,3,3
CS1445,18,12,755,5,4,3
CS3206,18,7,476,5,1,1
CS3881,18,12,847,5,4,4
CS1465,18,15,1097,5,5,5
CS2770,18,15,979,5,5,5
CS4212,18,10,796,5,3,4
CS4597,18,14,917,5,5,4
CS4783,18,11,813,5,3,4
CS5027,18,11,780,5,3,3
CS1843,18,11,775,5,3,3
CS3871,18,12,814,5,4,4
CS1606,18,7,392,5,1,1
CS7251,18,7,301,5,1,1
CS2112,18,7,581,5,1,1
CS4098,18,15,1072,5,5,5
CS5048,18,13,822,5,4,4
CS8241,18,10,371,5,2,1
CS4870,18,9,582,5,1,1
CS3560,18,11,771,5,3,3
CS8925,18,5,227,5,1,1
CS7118,18,9,473,5,1,1
CS4845,18,14,908,5,5,4
CS7748,18,8,369,5,1,1
CS1209,18,11,768,5,3,3
CS4872,18,11,767,5,3,3
CS7449,18,8,324,5,1,1
CS3695,18,13,837,5,5,4
CS3929,18,12,839,5,4,4
CS1449,18,11,792,5,3,3
CS1455,18,7,485,5,1,1
